RefSeq_accession_number,patient_ID,value
NP_057427,AO-A12D,0.490373274
NP_057427,C8-A131,0.764109274
NP_057427,AO-A12B,-1.108806815
NP_057427,BH-A18Q,-0.179342115
NP_057427,C8-A130,0.106156422
NP_057427,C8-A138,-0.409316137
NP_057427,E2-A154,-2.742664249
NP_057427,C8-A12L,0.179349249
NP_057427,A2-A0EX,-2.506722746
NP_057427,AN-A04A,-1.010772607
NP_057427,BH-A0AV,-0.671765924
NP_057427,C8-A12T,0.203076551
NP_057427,A8-A06Z,0.717278097
NP_057427,A2-A0CM,2.160157445
NP_057427,BH-A18U,-0.375481849
NP_057427,A2-A0EQ,-0.020957303
NP_057427,AR-A0U4,0.585788954
NP_057427,AO-A0J9,-1.40514937
NP_057427,AR-A1AP,-2.509488288
NP_057427,AN-A0FK,-1.381394381
NP_057427,AO-A0J6,-0.075089966
NP_057427,A7-A13F,0.73680908
NP_057427,BH-A0E1,1.078860307
NP_057427,A7-A0CE,1.761672557
NP_057427,A2-A0YC,-0.270496373
NP_057427,AO-A0JC,-2.308411653
NP_057427,A8-A08Z,-0.409160499
NP_057427,AR-A0TX,-1.388531694
NP_057427,A8-A076,-0.969020452
NP_057427,AO-A126,-1.760204786
NP_057427,BH-A0C1,0.03647859
NP_057427,A2-A0EY,-1.015330011
NP_057427,AR-A1AW,-2.306877436
NP_057427,AR-A1AV,1.882713093
NP_057427,C8-A135,-0.265890766
NP_057427,A2-A0EV,-1.364604051
NP_057427,AN-A0AM,-0.505383131
NP_057427,D8-A142,-0.415695691
NP_057427,AN-A0FL,-0.342446826
NP_057427,BH-A0DG,-0.706863443
NP_057427,AR-A0TV,-0.04073198
NP_057427,C8-A12Z,-2.153013301
NP_057427,AO-A0JJ,-0.619782104
NP_057427,AO-A0JE,-1.01560163
NP_057427,AN-A0AJ,1.480831186
NP_057427,A7-A0CJ,-0.683521805
NP_057427,AO-A12F,2.386411297
NP_057427,A8-A079,2.43069137
NP_057427,A2-A0T3,1.059591881
NP_057427,A2-A0YD,-1.632841592
NP_057427,AR-A0TR,-2.193840622
NP_057427,AO-A03O,0.429608977
NP_057427,AO-A12E,0.983817359
NP_057427,A8-A06N,-0.358817156
NP_057427,A2-A0YG,0.090859603
NP_057427,BH-A18N,-0.649156914
NP_057427,AN-A0AL,-0.632908046
NP_057427,A2-A0T6,-2.885329038
NP_057427,E2-A158,-0.781776657
NP_057427,E2-A15A,0.229658423
NP_057427,AO-A0JM,-0.488477245
NP_057427,C8-A12V,0.185080345
NP_057427,A2-A0D2,2.249701721
NP_057427,C8-A12U,0.126062775
NP_057427,AR-A1AS,-0.565545158
NP_057427,A8-A09G,-1.18370531
NP_057427,C8-A134,2.241727517
NP_057427,A2-A0YF,-1.399735203
NP_057427,BH-A0DD,1.189353877
NP_057427,BH-A0E9,-0.516858156
NP_057427,AR-A0TT,-1.349875399
NP_057427,A2-A0SW,0.293751882
NP_057427,AO-A0JL,1.359573052
NP_057427,BH-A0BV,-1.358786751
NP_057427,A2-A0YM,7.71e-5
NP_057427,BH-A0C7,0.944990311
NP_057427,A2-A0SX,1.457488306
NP_057427,263d3f-I,-0.90501533
NP_057427,blcdb9-I,-1.778313867
NP_057427,c4155b-C,0.236681384
NP_002408,AO-A12D,-0.625897588
NP_002408,C8-A131,1.743696459
NP_002408,AO-A12B,-1.507899053
NP_002408,BH-A18Q,-1.46396875
NP_002408,C8-A130,1.883845347
NP_002408,C8-A138,0.739025561
NP_002408,E2-A154,-3.307172106
NP_002408,C8-A12L,-0.692468346
NP_002408,A2-A0EX,-2.953194175
NP_002408,AN-A04A,0.315314521
NP_002408,BH-A0AV,0.418014316
NP_002408,C8-A12T,-0.451414567
NP_002408,A8-A06Z,-0.059649689
NP_002408,A2-A0CM,2.62302061
NP_002408,BH-A18U,-1.951925947
NP_002408,A2-A0EQ,1.884935665
NP_002408,AR-A0U4,3.344291088
NP_002408,AO-A0J9,-1.397097639
NP_002408,AR-A1AP,-3.610008016
NP_002408,AN-A0FK,-4.62044036
NP_002408,AO-A0J6,-1.159168275
NP_002408,A7-A13F,0.371207719
NP_002408,BH-A0E1,-0.95657335
NP_002408,A7-A0CE,-0.583448134
NP_002408,A2-A0YC,-1.509795708
NP_002408,AO-A0JC,-2.479849293
NP_002408,A8-A08Z,-2.61963663
NP_002408,AR-A0TX,-2.653305078
NP_002408,A8-A076,-1.991061779
NP_002408,AO-A126,-1.637229134
NP_002408,BH-A0C1,1.408256397
NP_002408,A2-A0EY,-0.840446243
NP_002408,AR-A1AW,-1.650975857
NP_002408,AR-A1AV,0.999190368
NP_002408,C8-A135,0.223625633
NP_002408,A2-A0EV,-2.246793331
NP_002408,AN-A0AM,-0.731681472
NP_002408,D8-A142,-1.232627024
NP_002408,AN-A0FL,0.69613663
NP_002408,BH-A0DG,0.365853796
NP_002408,AR-A0TV,0.620402885
NP_002408,C8-A12Z,-2.012368394
NP_002408,AO-A0JJ,-2.061033499
NP_002408,AO-A0JE,-1.7016536
NP_002408,AN-A0AJ,-0.471788378
NP_002408,A7-A0CJ,-2.461390826
NP_002408,AO-A12F,0.192220662
NP_002408,A8-A079,0.705999488
NP_002408,A2-A0T3,-0.451477265
NP_002408,A2-A0YD,-2.89791722
NP_002408,AR-A0TR,-3.428153376
NP_002408,AO-A03O,0.350635776
NP_002408,AO-A12E,0.473763958
NP_002408,A8-A06N,0.269542446
NP_002408,A2-A0YG,1.294576953
NP_002408,BH-A18N,-3.465197756
NP_002408,AN-A0AL,3.858671584
NP_002408,A2-A0T6,-3.435149932
NP_002408,E2-A158,-1.588474221
NP_002408,E2-A15A,-0.441373071
NP_002408,AO-A0JM,2.120019554
NP_002408,C8-A12V,2.695859989
NP_002408,A2-A0D2,3.576941032
